row_id_original,term_id,term,type,langs,country,language_pair,country_label,comparison_label,comparison_side,code_lang,hl,gl,collection_date,result_number,link,link_clean,domain,top_level_domain,link_type,link_accessibility,valid_link,site_type,content_producer,author_background,recency_raw,major_errors_raw,accuracy_raw,jargon_score_raw,background_required_raw,access_multimedia_video,access_multimedia_database,access_multimedia_graphs,access_multimedia_hyperlinks,access_multimedia,access_sci_laypeople,access_sci_background,access_sci,accuracy_major_errors,accuracy_presentation,accuracy,cred_has_sources,cred_has_refs,cred_sourcing,cred_producer_high,cred_author_background,cred_source,contextual_everyday,contextual_local_examples,contextual,recency,agg_sci_qual,agg_sci_qual_norm,relevance_score,ndcg,n_coded_results_at_10
897,12,Fungi,Canonical Scientific Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,4,https://microbiologysociety.org/why-microbiology-matters/what-is-microbiology/fungi.html,https://microbiologysociety.org/why-microbiology-matters/what-is-microbiology/fungi.html,microbiologysociety.org,microbiologysociety.org,1,3,FALSE,5,2,1,1,2,3,1,1,1,0,0,1,2,0,0,0,1,1,2,0,0,0,0,0,0,1,0,1,0,5,2,0,0,3
899,12,Fungi,Canonical Scientific Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,5,https://ucmp.berkeley.edu/fungi/fungi.html,https://ucmp.berkeley.edu/fungi/fungi.html,ucmp.berkeley.edu,berkeley.edu,1,3,FALSE,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,3
901,12,Fungi,Canonical Scientific Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,9,https://biologydictionary.net/fungi/,https://biologydictionary.net/fungi/,biologydictionary.net,biologydictionary.net,1,3,FALSE,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,3
906,13,Mammifère,Canonical Scientific Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,8,https://www.thecanadianencyclopedia.ca/fr/article/mammifere,https://www.thecanadianencyclopedia.ca/fr/article/mammifere,www.thecanadianencyclopedia.ca,thecanadianencyclopedia.ca,1,1,TRUE,1,10,2,3,2,3,2,1,1,0,0,1,2,0,0,0,1,1,2,0,1,1,1,1,2,1,1,2,0,9,4,4,0.154268141,1
911,16,Solution,Canonical Scientific Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,9,https://www.alloprof.qc.ca/fr/eleves/bv/sciences/les-proprietes-des-solutions-s1026,https://www.alloprof.qc.ca/fr/eleves/bv/sciences/les-proprietes-des-solutions-s1026,www.alloprof.qc.ca,alloprof.qc.ca,1,2,FALSE,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,1
919,28,Énergie,Canonical Scientific Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,2,https://www.futura-sciences.com/sciences/definitions/energie-energie-15884/,https://www.futura-sciences.com/sciences/definitions/energie-energie-15884/,www.futura-sciences.com,futura-sciences.com,1,1,TRUE,5,7,2,3,2,3,3,1,0,0,0,1,1,1,0,1,1,1,2,0,0,0,1,0.5,1.5,0,0,0,0,5.5,2.5,2.5,0.492692871,5
922,28,Énergie,Canonical Scientific Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,4,https://www.linternaute.com/argent/guide-de-vos-finances/1427598-cheque-energie-exceptionnel-qui-va-le-toucher-en-decembre/,https://www.linternaute.com/argent/guide-de-vos-finances/1427598-cheque-energie-exceptionnel-qui-va-le-toucher-en-decembre/,www.linternaute.com,linternaute.com,3,1,TRUE,5,11,2,4,2,3,3,2,1,0,0,1,2,1,1,2,1,1,2,0,0,0,0,0.5,0.5,1,1,2,1,9.5,4.75,4.75,0.492692871,5
924,28,Énergie,Canonical Scientific Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,7,https://www.lemonde.fr/idees/article/2022/11/28/energie-l-ue-devrait-abandonner-l-idee-de-plafonnement-des-prix-et-s-attaquer-au-probleme-de-l-egalite-des-conditions-de-concurrence_6151914_3232.html,https://www.lemonde.fr/idees/article/2022/11/28/energie-l-ue-devrait-abandonner-l-idee-de-plafonnement-des-prix-et-s-attaquer-au-probleme-de-l-egalite-des-conditions-de-concurrence_6151914_3232.html,www.lemonde.fr,lemonde.fr,3,2,FALSE,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.492692871,5
926,28,Énergie,Canonical Scientific Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,8,https://www.techno-science.net/definition/1724.html,https://www.techno-science.net/definition/1724.html,www.techno-science.net,techno-science.net,1,1,TRUE,1,7,1,1,2,3,1,1,0,0,1,1,2,0,0,0,1,1,2,0,1,1,1,0,1,0,1,1,0,7,3,3,0.492692871,5
927,28,Énergie,Canonical Scientific Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,9,https://www.cea.fr/comprendre/Pages/energies/essentiel-sur-energies.aspx,https://www.cea.fr/comprendre/pages/energies/essentiel-sur-energies.aspx,www.cea.fr,cea.fr,1,1,TRUE,5,3,1,3,2,3,3,1,1,0,1,1,3,1,0,1,1,1,2,0,0,0,1,0,1,1,1,2,0,9,3.75,3.75,0.492692871,5
